staging_file,live_path,game_key,mapping_type,evidence
tools/new-sprites-snapped/anvil.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5001.png,Anvil,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/armor_stand.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5002.png,Armor Stand,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/bucket.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5005.png,Bucket,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/chain.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5007.png,Chain,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/coal_pile.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5008.png,Coal Pile,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/drain.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5010.png,Drain,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/forge.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5011.png,Forge,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/globe.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5012.png,Globe,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/grate.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5014.png,Grate,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
tools/new-sprites-snapped/iron_bars.png,src/Presentation/assets/sprites_16bf/world_24x24/oryx_16bit_fantasy_world_5015.png,Iron Bars,rejected_rubric_review,"Was applied as a verified 1:1 replacement in the first pass (2026-07-16), but rejected on rubric review the same day: mean per-pixel color distance vs the live sprite it replaced was 53-167 RGB units (vs <25 for every other landed file in the PR) — this staged file is a wholesale redesign from an earlier generation batch, not an incremental clean of the current art, and read as flatter/less detailed by eye. Reverted; the live tile now goes through the fresh clean+snap pipeline on its own original art instead (same treatment as the multi-ID groups below). This staged design is retained here as an unused Tier-3 triage candidate only."
